,condition,milage,Price,Year,Brand,Model,Model_Vers,S_RS,Cabriolet,Color,Transmission
501,Used,21681,72609.41927,2008,Porsche,911,Carrera,Base,Cabriolet,Blue,Automatic
502,Used,39770,71850,2017,Porsche,911,Carrera,Base,Hardtop,Blue,Automatic
503,Porsche Certified,23492,82900,2017,Porsche,911,Carrera,Base,Hardtop,Blue,Automatic
504,Used,70427,38900,2009,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
505,Used,15541,66000,2015,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
509,Used,27268,69995,2015,Porsche,911,Carrera,4,Hardtop,Other,Automatic
510,Used,41148,56000,2014,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
512,Used,75658,46997,2012,Porsche,911,Carrera,S,Hardtop,Other,Automatic
515,Used,18770,58777,2013,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
519,Porsche Certified,9742,88995,2018,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
522,Used,22379,59950,2009,Porsche,911,Carrera,S,Hardtop,Other,Automatic
523,Used,62,133500,2019,Porsche,911,Carrera,S,Hardtop,Other,Automatic
524,Used,25799,70900,2014,Porsche,911,Carrera,S,Hardtop,Other,Automatic
527,Used,28724,50900,2015,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
528,Used,38264,51900,2009,Porsche,911,Carrera,S,Hardtop,Other,Automatic
532,Used,28822,76900,2014,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
544,Used,17157,73888,2014,Porsche,911,Carrera,S,Hardtop,Other,Automatic
549,Used,15000,82900,2015,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
550,Used,12312,79995,2014,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
552,Used,10727,97950,2017,Porsche,911,Carrera,GTS,Hardtop,Other,Automatic
555,Used,63188,58998,2015,Porsche,911,Carrera,S,Hardtop,Other,Automatic
558,Used,39641,56999,2009,Porsche,911,Carrera,S,Hardtop,Other,Automatic
567,Used,67,129900,2019,Porsche,911,Carrera,S,Hardtop,Other,Automatic
568,Used,1914,92900,2018,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
569,Used,27643,73990,2018,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
572,Used,16271,76128,2015,Porsche,911,Carrera,S,Hardtop,Other,Automatic
575,Used,175,194900,2016,Porsche,911,Carrera,GTS,Hardtop,Other,Automatic
580,Used,6672,85900,2018,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
584,Used,10442,139995,2019,Porsche,911,Carrera,GTS4,Hardtop,Other,Automatic
586,Used,4126,112995,2019,Porsche,911,Carrera,S,Hardtop,Other,Automatic
600,Porsche Certified,5043,104995,2019,Porsche,911,Carrera,S,Hardtop,Other,Automatic
602,Used,14374,68900,2018,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
603,Porsche Certified,35959,59950,2013,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
605,Used,46857,64000,2014,Porsche,911,Carrera,S,Hardtop,Other,Automatic
606,Used,35103,68398,2018,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
608,Used,23811,62885,2012,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
610,Used,41594,41999,2007,Porsche,911,Carrera,S,Hardtop,Other,Automatic
611,Used,34154,67000,2014,Porsche,911,Carrera,S,Hardtop,Other,Automatic
612,Used,31698,59900,2012,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
616,Used,39829,65988,2015,Porsche,911,Carrera,S,Hardtop,Other,Automatic
617,Used,88111,29988,2007,Porsche,911,Carrera,S,Hardtop,Other,Automatic
618,Used,94249,59995,2013,Porsche,911,Carrera,S,Hardtop,Other,Automatic
619,Used,50712,36800,2008,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
620,Used,64056,53815,2012,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
622,Used,28342,69984,2016,Porsche,911,Carrera,S,Hardtop,Other,Automatic
624,Used,53744,49590,2009,Porsche,911,Carrera,S,Hardtop,Other,Automatic
625,Used,56350,53890,2009,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
626,Used,9000,79100,2017,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
628,Used,8580,97745,2016,Porsche,911,Carrera,GTS,Hardtop,Other,Automatic
629,Used,41618,56898,2013,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
630,Used,27831,65996,2011,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
631,Porsche Certified,36468,49790,2011,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
632,Porsche Certified,10959,88790,2017,Porsche,911,Carrera,S,Hardtop,Other,Automatic
633,Used,16849,89900,2017,Porsche,911,Carrera,S,Hardtop,Other,Automatic
635,Used,78910,31500,2008,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
636,Used,67525,59800,2014,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
638,Used,76275,26888,2007,Porsche,911,Carrera,Base,Cabriolet,Other,Automatic
640,Used,44717,54995,2014,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
643,Used,24167,74900,2013,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
644,Used,27018,63900,2012,Porsche,911,Carrera,S,Hardtop,Other,Automatic
647,Used,51350,37875,2007,Porsche,911,Carrera,S,Cabriolet,Other,Automatic
649,Used,38879,53900,2009,Porsche,911,Carrera,4,Cabriolet,Other,Automatic
650,Used,24779,70955,2013,Porsche,911,Carrera,S,Hardtop,Other,Automatic
652,Used,12161,64950,2010,Porsche,911,Carrera,S,Hardtop,Other,Automatic
653,Used,39994,51950,2010,Porsche,911,Carrera,S,Hardtop,Other,Automatic
654,Porsche Certified,14395,83991,2017,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
657,Used,20251,71999,2014,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
658,Used,130000,34900,2013,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
659,Used,29476,57995,2012,Porsche,911,Carrera,S,Hardtop,Other,Automatic
660,Used,53605,46777,2013,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
661,Used,33717,62995,2014,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
667,Used,16823,71899,2014,Porsche,911,Carrera,S,Hardtop,Other,Automatic
668,Used,12735,97949,2017,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
671,Used,22149,90999,2017,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
672,Used,67968,55500,2013,Porsche,911,Carrera,S,Hardtop,Other,Automatic
677,Used,23622,45999,2007,Porsche,911,Carrera,S,Cabriolet,Other,Automatic
678,Used,28000,56000,2013,Porsche,911,Carrera,S,Hardtop,Other,Automatic
679,Used,49568,38998,2007,Porsche,911,Carrera,S,Cabriolet,Other,Automatic
680,Used,86555,47765,2013,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
681,Used,13148,75980,2017,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
682,Porsche Certified,30846,69980,2015,Porsche,911,Carrera,S,Hardtop,Other,Automatic
683,Used,28496,51950,2009,Porsche,911,Carrera,S,Hardtop,Other,Automatic
684,Used,16016,69995,2012,Porsche,911,Carrera,S,Hardtop,Other,Automatic
686,Porsche Certified,33965,84347,2017,Porsche,911,Carrera,4,Hardtop,Other,Automatic
688,Used,47883,49888,2009,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
690,Porsche Certified,39154,59800,2014,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
692,Used,26324,59000,2010,Porsche,911,Carrera,4S,Cabriolet,Other,Automatic
693,Used,54579,49299,2010,Porsche,911,Carrera,S,Hardtop,Other,Automatic
694,Used,63551,52599,2009,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
695,Used,46524,64991,2013,Porsche,911,Carrera,S,Hardtop,Other,Automatic
698,Used,49745,57500,2016,Porsche,911,Carrera,Base,Hardtop,Other,Automatic
699,Used,30156,72500,2016,Porsche,911,Carrera,S,Hardtop,Other,Automatic
700,Used,25,152660,2019,Porsche,911,Carrera,GTS4,Hardtop,Other,Automatic
701,Used,28828,84995,2016,Porsche,911,Carrera,4S,Hardtop,Other,Automatic
702,Used,14374,68900,2018,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
703,Porsche Certified,35959,59950,2013,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
705,Used,46857,64000,2014,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
706,Used,35103,68398,2018,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
708,Used,23811,62885,2012,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
710,Used,41594,41999,2007,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
711,Used,34154,67000,2014,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
712,Used,31698,59900,2012,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
716,Used,39829,65988,2015,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
717,Used,88111,29988,2007,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
718,Used,94249,59995,2013,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
719,Used,50712,36800,2008,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
720,Used,64056,53815,2012,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
722,Used,28342,69984,2016,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
724,Used,53744,49590,2009,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
725,Used,56350,53890,2009,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
726,Used,9000,79100,2017,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
728,Used,8580,97745,2016,Porsche,911,Carrera,GTS,Hardtop,Gray/Silver,Automatic
729,Used,41618,56898,2013,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
730,Used,27831,65996,2011,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
731,Porsche Certified,36468,49790,2011,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
732,Porsche Certified,10959,88790,2017,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
733,Used,16849,89900,2017,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
735,Used,78910,31500,2008,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
736,Used,67525,59800,2014,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
738,Used,76275,26888,2007,Porsche,911,Carrera,Base,Cabriolet,Gray/Silver,Automatic
740,Used,44717,54995,2014,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
743,Used,24167,74900,2013,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
744,Used,27018,63900,2012,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
747,Used,51350,37875,2007,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Automatic
749,Used,38879,53900,2009,Porsche,911,Carrera,4,Cabriolet,Gray/Silver,Automatic
750,Used,24779,70955,2013,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
752,Used,12161,64950,2010,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
753,Used,39994,51950,2010,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
754,Porsche Certified,14395,83991,2017,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
757,Used,20251,71999,2014,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
758,Used,130000,34900,2013,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
759,Used,29476,57995,2012,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
760,Used,53605,46777,2013,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
761,Used,33717,62995,2014,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
767,Used,16823,71899,2014,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
768,Used,12735,97949,2017,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
771,Used,22149,90999,2017,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
772,Used,67968,55500,2013,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
777,Used,23622,45999,2007,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Automatic
778,Used,28000,56000,2013,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
779,Used,49568,38998,2007,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Automatic
780,Used,86555,47765,2013,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
781,Used,13148,75980,2017,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
782,Porsche Certified,30846,69980,2015,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
783,Used,28496,51950,2009,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
784,Used,16016,69995,2012,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
786,Porsche Certified,33965,84347,2017,Porsche,911,Carrera,4,Hardtop,Gray/Silver,Automatic
788,Used,47883,49888,2009,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
790,Porsche Certified,39154,59800,2014,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
792,Used,26324,59000,2010,Porsche,911,Carrera,4S,Cabriolet,Gray/Silver,Automatic
793,Used,54579,49299,2010,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
794,Used,63551,52599,2009,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
795,Used,46524,64991,2013,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
798,Used,49745,57500,2016,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Automatic
799,Used,30156,72500,2016,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Automatic
800,Used,25,152660,2019,Porsche,911,Carrera,GTS4,Hardtop,Gray/Silver,Automatic
801,Used,28828,84995,2016,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Automatic
802,Used,26274,63995,2016,Porsche,911,Carrera,Base,Hardtop,White,Automatic
804,Used,51845,48950,2008,Porsche,911,Carrera,4S,Cabriolet,White,Automatic
805,Porsche Certified,17446,81999,2018,Porsche,911,Carrera,Base,Hardtop,White,Automatic
809,Used,52971,34995,2008,Porsche,911,Carrera,4,Cabriolet,White,Automatic
811,Used,41000,59990,2012,Porsche,911,Carrera,4S,Hardtop,White,Automatic
812,Used,22985,78499,2017,Porsche,911,Carrera,4,Hardtop,White,Automatic
815,Used,41056,58990,2016,Porsche,911,Carrera,4,Hardtop,White,Automatic
817,Used,39656,54299,2013,Porsche,911,Carrera,Base,Hardtop,White,Automatic
821,Used,29214,59991,2013,Porsche,911,Carrera,Base,Hardtop,White,Automatic
822,Porsche Certified,56797,69984,2015,Porsche,911,Carrera,S,Hardtop,White,Automatic
823,Used,31288,69900,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
824,Used,75200,54590,2012,Porsche,911,Carrera,4S,Hardtop,White,Automatic
825,Used,4113,103995,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
827,Used,58785,37986,2008,Porsche,911,Carrera,4S,Hardtop,White,Automatic
828,Used,61833,55996,2011,Porsche,911,Carrera,4S,Hardtop,White,Automatic
829,Used,13600,66990,2012,Porsche,911,Carrera,S,Hardtop,White,Automatic
830,Used,36843,78777,2015,Porsche,911,Carrera,S,Hardtop,White,Automatic
831,Used,37565,66900,2011,Porsche,911,Carrera,GTS,Hardtop,White,Automatic
835,Used,6760,134900,2018,Porsche,911,Carrera,GTS4,Hardtop,White,Automatic
838,Used,32525,71950,2012,Porsche,911,Carrera,GTS4,Hardtop,White,Automatic
839,Used,29498,32000,2013,Porsche,911,Carrera,S,Hardtop,White,Automatic
840,Used,41359,59991,2013,Porsche,911,Carrera,Base,Hardtop,White,Automatic
841,Used,24719,68850,2014,Porsche,911,Carrera,S,Hardtop,White,Automatic
844,Used,7829,69950,2014,Porsche,911,Carrera,Base,Hardtop,White,Automatic
845,Used,26894,69950,2014,Porsche,911,Carrera,S,Hardtop,White,Automatic
847,Used,31863,66950,2011,Porsche,911,Carrera,GTS,Hardtop,White,Automatic
848,Porsche Certified,15135,82795,2015,Porsche,911,Carrera,S,Hardtop,White,Automatic
851,Used,32377,76998,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
852,Used,53064,43995,2009,Porsche,911,Carrera,Base,Hardtop,White,Automatic
853,Used,52992,64995,2013,Porsche,911,Carrera,4S,Hardtop,White,Automatic
854,Used,52300,42000,2009,Porsche,911,Carrera,Base,Hardtop,White,Automatic
857,Used,25124,66995,2016,Porsche,911,Carrera,Base,Hardtop,White,Automatic
859,Used,54700,39500,2008,Porsche,911,Carrera,S,Cabriolet,White,Automatic
861,Porsche Certified,52677,46353,2010,Porsche,911,Carrera,Base,Hardtop,White,Automatic
866,Used,68208,35995,2008,Porsche,911,Carrera,S,Cabriolet,White,Automatic
868,Used,34642,43991,2008,Porsche,911,Carrera,S,Hardtop,White,Automatic
869,Used,42367,66900,2014,Porsche,911,Carrera,S,Hardtop,White,Automatic
870,Used,25086,75900,2015,Porsche,911,Carrera,4S,Hardtop,White,Automatic
872,Used,100367,28888,2007,Porsche,911,Carrera,Base,Hardtop,White,Automatic
873,Used,26917,85991,2016,Porsche,911,Carrera,GTS,Hardtop,White,Automatic
874,Used,50972,51999,2009,Porsche,911,Carrera,S,Cabriolet,White,Automatic
877,Used,22792,67995,2013,Porsche,911,Carrera,S,Hardtop,White,Automatic
883,Porsche Certified,10296,87800,2018,Porsche,911,Carrera,Base,Hardtop,White,Automatic
884,Used,58556,59994,2011,Porsche,911,Carrera,4S,Hardtop,White,Automatic
885,Used,36525,59999,2013,Porsche,911,Carrera,S,Hardtop,White,Automatic
886,Used,39881,39999,2007,Porsche,911,Carrera,S,Cabriolet,White,Automatic
888,Used,13786,68999,2015,Porsche,911,Carrera,Base,Hardtop,White,Automatic
890,Used,22978,86500,2016,Porsche,911,Carrera,S,Hardtop,White,Automatic
891,Used,44999,83900,2017,Porsche,911,Carrera,S,Hardtop,White,Automatic
892,Used,45476,69998,2014,Porsche,911,Carrera,4S,Hardtop,White,Automatic
893,Porsche Certified,29089,73000,2014,Porsche,911,Carrera,S,Hardtop,White,Automatic
896,Used,5932,91589,2018,Porsche,911,Carrera,Base,Hardtop,White,Automatic
897,Used,18563,72990,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
899,Used,24506,73911,2014,Porsche,911,Carrera,4S,Hardtop,White,Automatic
901,Porsche Certified,7192,94695,2017,Porsche,911,Carrera,S,Hardtop,White,Automatic
907,Used,5887,79850,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
908,Used,7591,84000,2018,Porsche,911,Carrera,Base,Hardtop,White,Automatic
910,Used,37586,69786,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
917,Used,44413,71995,2013,Porsche,911,Carrera,4S,Hardtop,White,Automatic
920,Used,62236,44995,2011,Porsche,911,Carrera,S,Hardtop,White,Automatic
922,Used,14297,96991,2018,Porsche,911,Carrera,S,Hardtop,White,Automatic
925,Porsche Certified,22840,81995,2015,Porsche,911,Carrera,4S,Hardtop,White,Automatic
928,Porsche Certified,22752,83186,2019,Porsche,911,Carrera,Base,Hardtop,White,Automatic
931,Porsche Certified,6003,122998,2019,Porsche,911,Carrera,GTS,Hardtop,White,Automatic
933,Porsche Certified,7080,93988,2019,Porsche,911,Carrera,Base,Hardtop,White,Automatic
936,Used,26775,67500,2013,Porsche,911,Carrera,S,Hardtop,White,Automatic
938,Used,40700,66999,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
939,Used,87000,33000,2008,Porsche,911,Carrera,Base,Hardtop,White,Automatic
940,Porsche Certified,5574,78878,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
941,Used,1806,112500,2019,Porsche,911,Carrera,S,Hardtop,White,Automatic
942,Porsche Certified,21313,82988,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
944,Porsche Certified,8765,79980,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
946,Used,23649,83880,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
956,Used,9031,83841,2014,Porsche,911,Carrera,S,Hardtop,White,Automatic
973,Used,7920,89998,2017,Porsche,911,Carrera,4,Hardtop,White,Automatic
975,Porsche Certified,12904,81421,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
976,Used,26505,79900,2015,Porsche,911,Carrera,S,Hardtop,White,Automatic
977,Porsche Certified,12750,88336,2017,Porsche,911,Carrera,4,Hardtop,White,Automatic
978,Porsche Certified,6624,94995,2019,Porsche,911,Carrera,T,Hardtop,White,Automatic
979,Porsche Certified,2902,122900,2019,Porsche,911,Carrera,4S,Hardtop,White,Automatic
982,Porsche Certified,23325,89989,2017,Porsche,911,Carrera,4,Hardtop,White,Automatic
983,Porsche Certified,8082,94900,2017,Porsche,911,Carrera,S,Hardtop,White,Automatic
984,Used,10814,92995,2016,Porsche,911,Carrera,GTS,Hardtop,White,Automatic
985,Used,23258,79991,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
992,Used,9924,113995,2017,Porsche,911,Carrera,4S,Hardtop,White,Automatic
994,Used,37085,89996,2017,Porsche,911,Carrera,S,Hardtop,White,Automatic
996,Used,12417,98800,2016,Porsche,911,Carrera,GTS,Hardtop,White,Automatic
998,Used,28903,76999,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1001,Porsche Certified,17310,86998,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1007,Porsche Certified,14597,91998,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1008,Used,3681,109000,2019,Porsche,911,Carrera,4,Hardtop,White,Automatic
1010,Used,16909,84998,2017,Porsche,911,Carrera,S,Hardtop,White,Automatic
1011,Porsche Certified,24166,80000,2015,Porsche,911,Carrera,S,Hardtop,White,Automatic
1013,Used,9391,84888,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1015,Used,9924,110995,2017,Porsche,911,Carrera,4S,Hardtop,White,Automatic
1020,Used,21136,73995,2013,Porsche,911,Carrera,S,Hardtop,White,Automatic
1023,Porsche Certified,10501,108998,2017,Porsche,911,Carrera,S,Hardtop,White,Automatic
1025,Used,9015,88590,2015,Porsche,911,Carrera,S,Hardtop,White,Automatic
1026,Used,5546,109981,2019,Porsche,911,Carrera,S,Hardtop,White,Automatic
1030,Used,19320,67000,2014,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1035,Used,26067,94951,2017,Porsche,911,Carrera,S,Hardtop,White,Automatic
1038,Used,16841,85950,2015,Porsche,911,Carrera,4S,Hardtop,White,Automatic
1039,Used,6406,86998,2016,Porsche,911,Carrera,S,Hardtop,White,Automatic
1043,Used,25294,90000,2017,Porsche,911,Carrera,4S,Hardtop,White,Automatic
1044,Porsche Certified,13923,98948,2017,Porsche,911,Carrera,S,Hardtop,White,Automatic
1045,Used,12352,74850,2014,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1046,Used,19987,95582,2017,Porsche,911,Carrera,4S,Hardtop,White,Automatic
1047,Porsche Certified,34541,84995,2018,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1048,Used,9735,99998,2018,Porsche,911,Carrera,S,Hardtop,White,Automatic
