,condition,milage,Price,Year,Brand,Model,Model_Vers,S_RS,Cabriolet,Color,Transmission
1050,Porsche Certified,7268,84800,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1051,Used,53042,72609.41927,2013,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1055,Used,23579,82000,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1057,Used,34241,72609.41927,2014,Porsche,911,Carrera,S,Hardtop,White,Automatic
1058,Used,86900,35000,2008,Porsche,911,Carrera,4,Cabriolet,White,Automatic
1059,Porsche Certified,11384,87991,2018,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1062,Used,4400,80995,2017,Porsche,911,Carrera,Base,Hardtop,White,Automatic
1063,Used,31205,38000,2013,Porsche,911,Carrera,S,Hardtop,White,Automatic
1067,Used,10,99990,2017,Porsche,911,Carrera,S,Hardtop,White,Automatic
1068,Used,42752,58977,2012,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1070,Used,21177,62900,2017,Porsche,911,Carrera,Base,Hardtop,Red,Automatic
1071,Used,82320,26490,2008,Porsche,911,Carrera,Base,Hardtop,Red,Automatic
1073,Used,63720,50995,2009,Porsche,911,Carrera,4S,Cabriolet,Red,Automatic
1076,Used,35946,71633,2014,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1077,Used,52734,33000,2007,Porsche,911,Carrera,Base,Hardtop,Red,Automatic
1078,Porsche Certified,5336,117595,2019,Porsche,911,Carrera,4S,Hardtop,Red,Automatic
1082,Used,28555,64869,2014,Porsche,911,Carrera,Base,Hardtop,Red,Automatic
1085,Porsche Certified,23060,84300,2012,Porsche,911,Carrera,GTS4,Hardtop,Red,Automatic
1087,Used,39081,44995,2008,Porsche,911,Carrera,S,Cabriolet,Red,Automatic
1088,Used,3000,70000,2019,Porsche,911,Carrera,T,Hardtop,Red,Automatic
1089,Used,88822,42633,2011,Porsche,911,Carrera,GTS,Hardtop,Red,Automatic
1094,Used,20171,87795,2017,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1095,Used,31612,67898,2013,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1098,Used,5517,99495,2019,Porsche,911,Carrera,T,Hardtop,Red,Automatic
1099,Porsche Certified,39023,72997,2015,Porsche,911,Carrera,4S,Hardtop,Red,Automatic
1100,Used,31005,72900,2015,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1102,Used,22417,89495,2017,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1104,Used,13263,60000,2009,Porsche,911,Carrera,4S,Cabriolet,Red,Automatic
1111,Used,34187,52000,2009,Porsche,911,Carrera,S,Cabriolet,Red,Automatic
1112,Used,23827,91991,2014,Porsche,911,Carrera,4S,Hardtop,Red,Automatic
1115,Used,53969,32900,2007,Porsche,911,Carrera,Base,Cabriolet,Red,Automatic
1118,Used,20976,99900,2018,Porsche,911,Carrera,4S,Hardtop,Red,Automatic
1119,Porsche Certified,27534,87998,2016,Porsche,911,Carrera,4S,Hardtop,Red,Automatic
1123,Porsche Certified,7047,104995,2018,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1125,Porsche Certified,7420,99000,2019,Porsche,911,Carrera,Base,Hardtop,Red,Automatic
1128,Porsche Certified,5714,95432,2018,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1129,Used,5709,82900,2014,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1131,Used,26821,75995,2017,Porsche,911,Carrera,Base,Hardtop,Red,Automatic
1132,Used,9779,122550,2016,Porsche,911,Carrera,GTS,Hardtop,Red,Automatic
1133,Used,35020,65000,2015,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1138,Used,50678,53950,2009,Porsche,911,Carrera,4S,Hardtop,Red,Automatic
1139,Used,19482,71999,2011,Porsche,911,Carrera,GTS,Hardtop,Red,Automatic
1140,Used,6412,96785,2017,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1143,Porsche Certified,15232,112900,2018,Porsche,911,Carrera,GTS,Hardtop,Red,Automatic
1144,Porsche Certified,22312,97991,2017,Porsche,911,Carrera,4S,Hardtop,Red,Automatic
1147,Used,1115,119955,2017,Porsche,911,Carrera,GTS,Hardtop,Red,Automatic
1148,Used,14611,104995,2016,Porsche,911,Carrera,GTS,Hardtop,Red,Automatic
1150,Used,5115,104308,2019,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1151,Porsche Certified,17066,89957,2015,Porsche,911,Carrera,GTS,Hardtop,Red,Automatic
1155,Used,50078,82999,2017,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1156,Porsche Certified,3829,99800,2019,Porsche,911,Carrera,Base,Hardtop,Red,Automatic
1157,Used,7301,101909,2018,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1159,Used,11453,116900,2018,Porsche,911,Carrera,GTS,Hardtop,Red,Automatic
1160,Used,42772,58880,2012,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1162,Used,61784,36988,2008,Porsche,911,Carrera,S,Cabriolet,Red,Automatic
1164,Used,31676,72609.41927,2013,Porsche,911,Carrera,S,Hardtop,Red,Automatic
1166,Used,40074,47999,2012,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1168,Used,31000,69995,2016,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1169,Used,56436,51990,2012,Porsche,911,Carrera,S,Hardtop,Black,Manual
1170,Used,83282,39890,2012,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1171,Used,20646,44548,2007,Porsche,911,Carrera,S,Hardtop,Black,Manual
1174,Used,20663,48900,2009,Porsche,911,Carrera,Base,Cabriolet,Black,Manual
1175,Used,126130,22990,2007,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1176,Used,35750,39300,2008,Porsche,911,Carrera,S,Cabriolet,Black,Manual
1177,Used,34688,67433,2014,Porsche,911,Carrera,S,Hardtop,Black,Manual
1178,Used,28613,43900,2008,Porsche,911,Carrera,Base,Cabriolet,Black,Manual
1180,Used,41019,57800,2012,Porsche,911,Carrera,4S,Hardtop,Black,Manual
1181,Used,36118,47977,2009,Porsche,911,Carrera,S,Cabriolet,Black,Manual
1183,Used,72700,34988,2007,Porsche,911,Carrera,S,Hardtop,Black,Manual
1184,Used,54727,34944,2007,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1185,Used,58158,32975,2007,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1186,Used,31022,66940,2015,Porsche,911,Carrera,S,Hardtop,Black,Manual
1187,Used,34155,49990,2012,Porsche,911,Carrera,S,Hardtop,Black,Manual
1189,Used,35800,64991,2011,Porsche,911,Carrera,4S,Hardtop,Black,Manual
1190,Used,51500,55000,2013,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1192,Used,34042,56995,2014,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1195,Used,26180,57999,2013,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1196,Used,46970,58000,2010,Porsche,911,Carrera,4S,Cabriolet,Black,Manual
1197,Used,29400,56995,2015,Porsche,911,Carrera,S,Hardtop,Black,Manual
1198,Used,10300,82900,2017,Porsche,911,Carrera,4S,Hardtop,Black,Manual
1201,Used,36256,65999,2014,Porsche,911,Carrera,S,Hardtop,Black,Manual
1202,Used,28872,67900,2015,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1203,Used,11370,87000,2017,Porsche,911,Carrera,S,Hardtop,Black,Manual
1204,Used,35214,33000,2013,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1206,Used,49000,48700,2013,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1207,Used,49611,54981,2013,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1208,Used,18800,69999,2016,Porsche,911,Carrera,4,Black,Black,Manual
1210,Porsche Certified,26973,64898,2012,Porsche,911,Carrera,S,Hardtop,Black,Manual
1211,Used,23124,59980,2013,Porsche,911,Carrera,S,Hardtop,Black,Manual
1213,Used,32322,56988,2014,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1215,Used,59850,59999,2014,Porsche,911,Carrera,4S,Hardtop,Black,Manual
1216,Used,69978,58900,2014,Porsche,911,Carrera,4S,Hardtop,Black,Manual
1218,Used,85000,34900,2009,Porsche,911,Carrera,S,Cabriolet,Black,Manual
1220,Used,56436,51990,2012,Porsche,911,Carrera,S,Hardtop,Black,Manual
1221,Used,82450,32999,2009,Porsche,911,Carrera,S,Cabriolet,Black,Manual
1223,Porsche Certified,33469,83875,2012,Porsche,911,Carrera,GTS4,Hardtop,Black,Manual
1224,Porsche Certified,27962,64490,2014,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1225,Used,20039,67790,2013,Porsche,911,Carrera,S,Hardtop,Black,Manual
1227,Used,54905,53000,2012,Porsche,911,Carrera,S,Hardtop,Black,Manual
1228,Used,66437,35990,2007,Porsche,911,Carrera,4S,Cabriolet,Black,Manual
1229,Used,30465,74680,2014,Porsche,911,Carrera,4S,Hardtop,Black,Manual
1230,Used,35475,67395,2013,Porsche,911,Carrera,S,Hardtop,Black,Manual
1231,Used,39245,57900,2013,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1232,Used,59785,64000,2013,Porsche,911,Carrera,S,Hardtop,Black,Manual
1233,Used,40208,59991,2016,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1234,Used,53111,39998,2011,Porsche,911,Carrera,S,Hardtop,Black,Manual
1235,Porsche Certified,47438,69998,2017,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1236,Used,18259,69950,2011,Porsche,911,Carrera,S,Hardtop,Black,Manual
1238,Used,16587,51950,2009,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1239,Used,17081,60999,2012,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1240,Porsche Certified,18823,75991,2014,Porsche,911,Carrera,S,Hardtop,Black,Manual
1242,Used,16004,95800,2018,Porsche,911,Carrera,4S,Hardtop,Black,Manual
1244,Used,20059,59995,2011,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1245,Used,53787,44990,2010,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1246,Used,45209,42900,2007,Porsche,911,Carrera,Base,Cabriolet,Black,Manual
1249,Used,27748,49900,2009,Porsche,911,Carrera,Base,Cabriolet,Black,Manual
1250,Used,39508,58900,2014,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1251,Used,24640,62998,2015,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1252,Used,51392,45980,2010,Porsche,911,Carrera,4,Cabriolet,Black,Manual
1253,Used,20500,49500,2010,Porsche,911,Carrera,Base,Hardtop,Black,Manual
1254,Used,38463,67999,2014,Porsche,911,Carrera,S,Hardtop,Black,Manual
1255,Used,65757,41977,2007,Porsche,911,Carrera,4S,Hardtop,Black,Manual
1256,Used,19727,75291,2014,Porsche,911,Carrera,S,Hardtop,Black,Manual
1257,Used,16500,104000,2017,Porsche,911,Carrera,GTS4,Hardtop,Black,Manual
1258,Used,37884,51950,2010,Porsche,911,Carrera,S,Hardtop,Black,Manual
1260,Used,78611,39988,2008,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1261,Used,22463,56997,2013,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1262,Used,24812,59950,2013,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1264,Used,31650,44995,2007,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Manual
1267,Used,34916,79995,2014,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Manual
1268,Used,33041,57890,2013,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1270,Used,32831,57900,2009,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1271,Used,46398,43500,2007,Porsche,911,Carrera,4S,Cabriolet,Gray/Silver,Manual
1273,Used,41245,50725,2008,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1274,Used,51804,35895,2007,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Manual
1275,Used,55000,45000,2007,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1276,Used,18158,62995,2007,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Manual
1277,Used,23019,83950,2015,Porsche,911,Carrera,GTS,Hardtop,Gray/Silver,Manual
1278,Used,56498,38500,2008,Porsche,911,Carrera,4,Cabriolet,Gray/Silver,Manual
1280,Used,44193,49950,2011,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1281,Used,5497,85000,2018,Porsche,911,Carrera,T,Hardtop,Gray/Silver,Manual
1282,Used,69813,32000,2007,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1283,Used,33139,42500,2008,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1284,Porsche Certified,6185,126995,2018,Porsche,911,Carrera,GTS4,Hardtop,Gray/Silver,Manual
1285,Used,32148,72609.41927,2008,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1286,Used,45533,30995,2007,Porsche,911,Carrera,Base,Cabriolet,Gray/Silver,Manual
1287,Used,63485,39900,2007,Porsche,911,Carrera,4S,Cabriolet,Gray/Silver,Manual
1288,Used,64498,34995,2007,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1289,Used,96502,31980,2008,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Manual
1291,Porsche Certified,8402,84500,2018,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1292,Used,26738,80995,2017,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1293,Used,72000,32000,2008,Porsche,911,Carrera,4,Hardtop,Gray/Silver,Manual
1297,Porsche Certified,5133,97970,2018,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1298,Used,52500,99999,2008,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Manual
1299,Used,2742,101950,2019,Porsche,911,Carrera,T,Hardtop,Gray/Silver,Manual
1300,Used,51077,41900,2008,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Manual
1301,Porsche Certified,13706,83900,2017,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1302,Used,36522,63900,2013,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1304,Used,51118,42890,2009,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1305,Used,27396,88888,2017,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Manual
1306,Used,13655,88991,2016,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Manual
1307,Used,34135,44925,2007,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1308,Used,20530,52400,2008,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1309,Used,40500,57991,2012,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1311,Used,37104,45000,2007,Porsche,911,Carrera,4S,Cabriolet,Gray/Silver,Manual
1312,Used,6846,94994,2017,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1314,Used,59931,34998,2007,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1315,Used,143119,23950,2007,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1316,Used,237,124900,2019,Porsche,911,Carrera,GTS,Hardtop,Gray/Silver,Manual
1317,Used,83499,28880,2007,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1318,Used,15523,60999,2014,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1319,Used,8410,87998,2017,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1320,Used,12181,80995,2017,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1322,Used,20416,79283,2018,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1323,Used,1284,114000,2019,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Manual
1325,Used,53000,45500,2008,Porsche,911,Carrera,4S,Cabriolet,Gray/Silver,Manual
1326,Used,5900,100000,2017,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Manual
1327,Used,1835,98995,2019,Porsche,911,Carrera,T,Hardtop,Gray/Silver,Manual
1328,Used,39326,87900,2017,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Manual
1333,Porsche Certified,43092,75900,2017,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1335,Used,25700,54999,2009,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Manual
1338,Used,41,178900,2016,Porsche,911,Carrera,GTS,Hardtop,Gray/Silver,Manual
1341,Used,4500,107900,2017,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Manual
1350,Used,62367,36000,2007,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1351,Used,51025,53998,2015,Porsche,911,Carrera,4,Hardtop,Gray/Silver,Manual
1354,Used,22642,75000,2014,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1355,Porsche Certified,10545,84991,2018,Porsche,911,Carrera,Base,Hardtop,Gray/Silver,Manual
1356,Used,58482,72609.41927,2007,Porsche,911,Carrera,4S,Hardtop,Gray/Silver,Manual
1357,Used,38397,44887,2008,Porsche,911,Carrera,S,Hardtop,Gray/Silver,Manual
1358,Used,8592,83885,2018,Porsche,911,Carrera,Base,Hardtop,Other,Manual
1359,Used,54990,39995,2008,Porsche,911,Carrera,S,Hardtop,Other,Manual
1360,Used,32842,69000,2015,Porsche,911,Carrera,S,Hardtop,Other,Manual
1364,Used,13025,61503,2014,Porsche,911,Carrera,4,Hardtop,Other,Manual
1365,Used,25906,93995,2016,Porsche,911,Carrera,GTS,Hardtop,Other,Manual
1367,Used,3427,139863,2019,Porsche,911,Carrera,GTS4,Hardtop,Other,Manual
1368,Used,29281,63900,2009,Porsche,911,Carrera,S,Hardtop,Other,Manual
1373,Used,4434,76599,2016,Porsche,911,Carrera,Base,Hardtop,Other,Manual
1374,Used,9832,80000,2017,Porsche,911,Carrera,Base,Hardtop,Other,Manual
1375,Used,18156,88984,2015,Porsche,911,Carrera,GTS,Hardtop,Other,Manual
1378,Used,24418,89989,2017,Porsche,911,Carrera,4S,Hardtop,Other,Manual
1380,Used,20788,52475,2007,Porsche,911,Carrera,Base,Hardtop,Other,Manual
1383,Used,11813,84000,2016,Porsche,911,Carrera,4S,Hardtop,Other,Manual
1384,Porsche Certified,9444,84950,2018,Porsche,911,Carrera,Base,Hardtop,Other,Manual
1386,Used,1378,102900,2018,Porsche,911,Carrera,S,Hardtop,Other,Manual
1387,Used,43824,68990,2014,Porsche,911,Carrera,S,Hardtop,Other,Manual
1388,Used,43,178900,2016,Porsche,911,Carrera,GTS,Hardtop,Other,Manual
1389,Used,144,159991,2016,Porsche,911,Carrera,GTS,Hardtop,Other,Manual
1391,Used,6242,106977,2018,Porsche,911,Carrera,T,Hardtop,Other,Manual
1392,Used,6296,129995,2018,Porsche,911,Carrera,4S,Hardtop,Other,Manual
1393,Used,11712,86514,2017,Porsche,911,Carrera,Base,Hardtop,Other,Manual
1404,Used,4070,129000,2019,Porsche,911,Carrera,GTS,Hardtop,Other,Manual
1407,Used,35900,64800,2012,Porsche,911,Carrera,S,Hardtop,Other,Manual
1408,Used,17000,35000,2008,Porsche,911,Carrera,S,Cabriolet,Other,Manual
1410,Porsche Certified,6380,72984,2015,Porsche,911,Carrera,Base,Hardtop,Other,Manual
1413,Used,6038,72609.41927,2018,Porsche,911,Carrera,T,Hardtop,Other,Manual
1415,Used,22365,68777,2015,Porsche,911,Carrera,Base,Hardtop,Other,Manual
1417,Used,33545,45995,2007,Porsche,911,Carrera,S,Hardtop,Red,Manual
1419,Used,17366,64900,2013,Porsche,911,Carrera,Base,Hardtop,Red,Manual
1420,Used,106168,39971,2007,Porsche,911,Carrera,4S,Hardtop,Red,Manual
1422,Used,6806,92795,2019,Porsche,911,Carrera,Base,Hardtop,Red,Manual
1423,Used,6732,72950,2009,Porsche,911,Carrera,S,Hardtop,Red,Manual
1424,Used,23656,65900,2007,Porsche,911,Carrera,4S,Hardtop,Red,Manual
1425,Used,49168,42900,2007,Porsche,911,Carrera,Base,Cabriolet,Red,Manual
1426,Used,37527,93900,2016,Porsche,911,Carrera,GTS4,Hardtop,Red,Manual
1427,Used,9254,54888,2007,Porsche,911,Carrera,4S,Cabriolet,Red,Manual
1429,Used,15787,59995,2007,Porsche,911,Carrera,4S,Hardtop,Red,Manual
1430,Used,36100,71000,2017,Porsche,911,Carrera,Base,Hardtop,Red,Manual
1431,Used,7742,93800,2018,Porsche,911,Carrera,S,Hardtop,Red,Manual
1433,Used,753,94988,2019,Porsche,911,Carrera,Base,Hardtop,Red,Manual
1434,Used,4950,98900,2012,Porsche,911,Carrera,GTS4,Hardtop,Red,Manual
1436,Used,3207,127991,2018,Porsche,911,Carrera,GTS,Hardtop,Red,Manual
1439,Porsche Certified,21358,76995,2017,Porsche,911,Carrera,Base,Hardtop,Red,Manual
1440,Porsche Certified,8708,69984,2013,Porsche,911,Carrera,Base,Hardtop,Red,Manual
1441,Used,15539,82000,2018,Porsche,911,Carrera,Base,Hardtop,Red,Manual
1442,Used,19950,59995,2009,Porsche,911,Carrera,S,Cabriolet,Red,Manual
1443,Used,6040,112340,2019,Porsche,911,Carrera,Base,Hardtop,Red,Manual
1444,Used,29677,57900,2013,Porsche,911,Carrera,Base,Hardtop,Red,Manual
1445,Used,65396,72609.41927,2008,Porsche,911,Carrera,S,Hardtop,Red,Manual
1446,Used,29961,57888,2013,Porsche,911,Carrera,Base,Hardtop,White,Manual
1447,Used,30645,41994,2007,Porsche,911,Carrera,S,Hardtop,White,Manual
1448,Used,2878,94800,2019,Porsche,911,Carrera,T,Hardtop,White,Manual
1450,Used,19555,62000,2013,Porsche,911,Carrera,Base,Hardtop,White,Manual
1451,Used,36382,54991,2011,Porsche,911,Carrera,S,Hardtop,White,Manual
1452,Used,16869,68998,2015,Porsche,911,Carrera,Base,Hardtop,White,Manual
1453,Used,46817,55952,2014,Porsche,911,Carrera,Base,Hardtop,White,Manual
1454,Used,75911,36788,2008,Porsche,911,Carrera,S,Cabriolet,White,Manual
1455,Used,18431,40625,2007,Porsche,911,Carrera,Base,Cabriolet,White,Manual
1456,Used,40839,62900,2013,Porsche,911,Carrera,S,Hardtop,White,Manual
1458,Porsche Certified,31570,75500,2017,Porsche,911,Carrera,Base,Hardtop,White,Manual
1459,Used,31531,56990,2012,Porsche,911,Carrera,S,Hardtop,White,Manual
1460,Used,42500,75500,2012,Porsche,911,Carrera,GTS4,Hardtop,White,Manual
1461,Used,38469,77788,2017,Porsche,911,Carrera,Base,Hardtop,White,Manual
1462,Porsche Certified,27594,76900,2015,Porsche,911,Carrera,S,Hardtop,White,Manual
1464,Used,11728,59997,2014,Porsche,911,Carrera,Base,Hardtop,White,Manual
1465,Used,17982,59997,2012,Porsche,911,Carrera,Base,Hardtop,White,Manual
1466,Used,3100,81900,2012,Porsche,911,Carrera,S,Hardtop,White,Manual
1467,Used,6717,83979,2018,Porsche,911,Carrera,Base,Hardtop,White,Manual
1468,Used,22175,68950,2012,Porsche,911,Carrera,S,Hardtop,White,Manual
1469,Used,38073,78950,2015,Porsche,911,Carrera,4S,Hardtop,White,Manual
1472,Used,10771,102900,2018,Porsche,911,Carrera,S,Hardtop,White,Manual
1473,Porsche Certified,16386,71510,2013,Porsche,911,Carrera,Base,Hardtop,White,Manual
1474,Used,6000,86800,2019,Porsche,911,Carrera,T,Hardtop,White,Manual
1475,Used,4660,109900,2019,Porsche,911,Carrera,T,Hardtop,White,Manual
1476,Used,10400,80500,2018,Porsche,911,Carrera,Base,Hardtop,White,Manual
1477,Used,3100,112900,2018,Porsche,911,Carrera,S,Hardtop,White,Manual
1486,Used,33863,69900,2012,Porsche,911,Carrera,S,Hardtop,White,Manual
1489,Used,10204,99900,2017,Porsche,911,Carrera,S,Hardtop,White,Manual
1491,Used,52367,69990,2012,Porsche,911,Carrera,GTS,Hardtop,White,Manual
1492,Used,9687,93999,2017,Porsche,911,Carrera,4S,Hardtop,White,Manual
1493,Used,19826,99950,2017,Porsche,911,Carrera,4S,Hardtop,White,Manual
1494,Used,15710,89995,2016,Porsche,911,Carrera,4S,Hardtop,White,Manual
1495,Used,502,93900,2018,Porsche,911,Carrera,T,Hardtop,White,Manual
1496,Used,5182,81995,2016,Porsche,911,Carrera,S,Hardtop,White,Manual
1501,Porsche Certified,10074,112000,2018,Porsche,911,Carrera,4S,Hardtop,White,Manual
