,condition,milage,Year,Brand,Model,Model_Vers,S_RS,Cabriolet,Color,Transmission,6,7
71,Used,1513,2018,Porsche,911,GT2,RS,,Red,Automatic,,
72,Porsche Certified,2862,2018,Porsche,911,Turbo,S,,Red,Automatic,,
73,Used,50678,2009,Porsche,911,Carrera,4S,,Red,Automatic,,
74,Used,19482,2011,Porsche,911,Carrera,GTS,,Red,Automatic,,
75,Used,6412,2017,Porsche,911,Carrera,S,,Red,Automatic,,
76,Used,1585,2019,Porsche,911,Turbo,S,,Red,Automatic,,
77,Used,41502,2016,Porsche,911,Turbo,,,Red,Automatic,,
78,Porsche Certified,15232,2018,Porsche,911,Carrera,GTS,,Red,Automatic,,
79,Porsche Certified,22312,2017,Porsche,911,Carrera,4S,,Red,Automatic,,
80,Used,12500,2015,Porsche,911,GT3,,,Red,Automatic,,
81,Used,18569,2014,Porsche,911,GT3,,,Red,Automatic,,
82,Used,1115,2017,Porsche,911,Carrera,GTS,,Red,Automatic,,
83,Used,14611,2016,Porsche,911,Carrera,GTS,,Red,Automatic,,
84,Porsche Certified,10318,2014,Porsche,911,GT3,,,Red,Automatic,,
85,Used,5115,2019,Porsche,911,Carrera,S,,Red,Automatic,,
86,Porsche Certified,17066,2015,Porsche,911,Carrera,GTS,,Red,Automatic,,
87,Used,4799,2017,Porsche,911,Targa,4S,,Red,Automatic,,
88,Used,1016,2019,Porsche,911,Turbo,,,Red,Automatic,,
89,Used,7312,2017,Porsche,911,Turbo,,,Red,Automatic,,
90,Used,50078,2017,Porsche,911,Carrera,S,,Red,Automatic,,
91,Used,7301,2018,Porsche,911,Carrera,S,,Red,Automatic,,
92,Used,13444,2015,Porsche,911,GT3,,,Red,Automatic,,
93,Used,11453,2018,Porsche,911,Carrera,GTS,,Red,Automatic,,
94,Porsche Certified,3829,2019,Porsche,911,Carrera,,,Red,Automatic,,
95,Used,42772,2012,Porsche,911,Carrera,S,,Red,Automatic,,
96,Used,18702,2012,Porsche,911,,,,Red,Automatic,,
97,Used,61784,2008,Porsche,911,Carrera,S,Cabriolet,Red,Automatic,,
0,Used,15541,2015,Porsche,911,Carrera,,,Other,Automatic,,
1,Used,28724,2015,Porsche,911,Carrera,,,Other,Automatic,,
2,Used,27275,2015,Porsche,911,Targa,4S,,Other,Automatic,,
3,Used,27268,2015,Porsche,911,Carrera,4,,Other,Automatic,,
4,Used,37201,2009,Porsche,911,Targa,4S,,Other,Automatic,,
5,Used,45687,2014,Porsche,911,Carrera,,,Other,Automatic,,
6,Used,29996,2016,Porsche,911,Targa,4S,,Other,Automatic,,
7,Used,3044,2014,Porsche,911,Turbo,S,,Other,Automatic,,
8,Used,41148,2014,Porsche,911,Carrera,,,Other,Automatic,,
9,Used,12317,2015,Porsche,911,GT3,,,Other,Automatic,,
10,Used,5190,2016,Porsche,911,GT3,RS,,Other,Automatic,,
11,Used,25799,2014,Porsche,911,Carrera,S,,Other,Automatic,,
12,Used,75658,2012,Porsche,911,Carrera,S,,Other,Automatic,,
13,Used,36525,2008,Porsche,911,Turbo,Cabriolet,,Other,Automatic,,
14,Used,1336,2019,Porsche,911,GT3,RS,,Other,Automatic,,
15,Used,28822,2014,Porsche,911,Carrera,4S,,Other,Automatic,,
16,Used,17867,2016,Porsche,911,Turbo,S,,Other,Automatic,,
17,Used,12126,2016,Porsche,911,GT3,RS,,Other,Automatic,,
18,Used,17157,2014,Porsche,911,Carrera,S,,Other,Automatic,,
19,Used,36012,2015,Porsche,911,Turbo,S,,Other,Automatic,,
20,Used,3155,2019,Porsche,911,Turbo,,,Other,Automatic,,
21,Used,15000,2015,Porsche,911,Carrera,4S,,Other,Automatic,,
22,Used,10727,2017,Porsche,911,Carrera,GTS,,Other,Automatic,,
23,Used,3373,2019,Porsche,911,GT2,RS,,Other,Automatic,,
24,Used,60,2018,Porsche,911,GT2,RS,,Other,Automatic,,
25,Used,63188,2015,Porsche,911,Carrera,S,,Other,Automatic,,
26,Used,739,2016,Porsche,911,GT3,RS,,Other,Automatic,,
27,Used,164,2018,Porsche,911,GT2,RS,,Other,Automatic,,
28,Used,28989,2015,Porsche,911,Turbo,S,,Other,Automatic,,
29,Used,2855,2019,Porsche,911,GT3,RS,,Other,Automatic,,
30,Porsche Certified,6030,2018,Porsche,911,GT2,RS,,Other,Automatic,,
31,Used,16271,2015,Porsche,911,Carrera,S,,Other,Automatic,,
32,Used,7059,2015,Porsche,911,Turbo,,,Other,Automatic,,
33,Used,5525,2016,Porsche,911,Turbo,,,Other,Automatic,,
34,Used,6672,2018,Porsche,911,Carrera,,,Other,Automatic,,
35,Used,17647,2017,Porsche,911,Turbo,,,Other,Automatic,,
36,Porsche Certified,10627,2016,Porsche,911,Turbo,S,,Other,Automatic,,
37,Used,1128,2016,Porsche,911,GT3,RS,,Other,Automatic,,
38,Used,775,2018,Porsche,911,GT2,RS,,Other,Automatic,,
39,Used,4389,2019,Porsche,911,GT3,,,Other,Automatic,,
40,Used,13168,2015,Porsche,911,GT3,,,Other,Automatic,,
41,Used,7100,2014,Porsche,911,GT3,,,Other,Automatic,,
42,Porsche Certified,5043,2019,Porsche,911,Carrera,S,,Other,Automatic,,
43,Used,11600,2016,Porsche,911,Targa,4S,,Other,Automatic,,
44,Used,7492,2015,Porsche,911,GT3,,,Other,Automatic,,
45,Used,3892,2017,Porsche,911,Carrera,4S,,Other,Automatic,,
46,Used,8144,2017,Porsche,911,Turbo,S,,Other,Automatic,,
47,Used,3288,2018,Porsche,911,Carrera,S,,Other,Automatic,,
48,Used,3618,2016,Porsche,911,GT3,RS,,Other,Automatic,,
49,Porsche Certified,12172,2019,Porsche,911,Targa,4,GTS,Other,Automatic,,
50,Used,3544,2019,Porsche,911,Carrera,S,,Other,Automatic,,
51,Used,10080,2018,Porsche,911,Carrera,4S,,Other,Automatic,,
52,Used,1071,2019,Porsche,911,GT3,RS,,Other,Automatic,,
53,Used,18257,2016,Porsche,911,Carrera,S,,Other,Automatic,,
54,Used,2908,2018,Porsche,911,GT3,,,Other,Automatic,,
55,Used,6980,2015,Porsche,911,Carrera,GTS,,Other,Automatic,,
56,Porsche Certified,1522,2018,Porsche,911,GT2,RS,,Other,Automatic,,
57,Used,2400,2016,Porsche,911,GT3,RS,,Other,Automatic,,
58,Used,11750,2018,Porsche,911,Turbo,S,,Other,Automatic,,
59,Porsche Certified,3469,2018,Porsche,911,Targa,4S,,Other,Automatic,,
60,Used,630,2018,Porsche,911,GT2,RS,,Other,Automatic,,
61,Used,282,2018,Porsche,911,GT2,RS,,Other,Automatic,,
62,Used,4356,2018,Porsche,911,GT3,,,Other,Automatic,,
63,Porsche Certified,858,2019,Porsche,911,GT2,RS,,Other,Automatic,,
0,Porsche Certified,20315,2018,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
1,Used,19600,2018,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
2,Used,34868,2017,Porsche,911,FACTORY,WHEEL,UPGRADE,Gray/Silver,Automatic,PACKAGE,
3,Porsche Certified,8497,2019,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
4,Used,5486,2017,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
5,Used,10450,2014,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
6,Used,18000,2015,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
7,Porsche Certified,8229,2018,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
8,Used,17328,2015,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
9,Used,23550,2015,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
10,Used,19166,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
11,Porsche Certified,28837,2017,Porsche,911,Targa,4S,,Gray/Silver,Automatic,,
12,Used,19432,2017,Porsche,911,PACKAGE,PLUS,,Gray/Silver,Automatic,,
13,Used,21404,2014,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
14,Used,6086,2018,Porsche,911,GT3,,,Gray/Silver,Automatic,,
15,Porsche Certified,10521,2015,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
16,Porsche Certified,31830,2017,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
17,Porsche Certified,693,2019,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
18,Used,2532,2018,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
19,Used,539,2019,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
20,Porsche Certified,34346,2015,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
21,Porsche Certified,40729,2017,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
22,Used,2194,2019,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
23,Porsche Certified,19000,2017,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
24,Used,47832,2018,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
25,Used,6579,2018,Porsche,911,GT3,,,Gray/Silver,Automatic,,
26,Used,21561,2015,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
27,Used,26718,2010,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
28,Used,4212,2019,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
29,Porsche Certified,28835,2017,Porsche,911,Carrera,4,,Gray/Silver,Automatic,,
30,Used,6170,2019,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
31,Used,1849,2018,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
32,Porsche Certified,7101,2017,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
33,Used,4190,2018,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
34,Used,9156,2015,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
35,Used,9956,2018,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
36,Used,131,2019,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
37,Porsche Certified,20882,2017,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
38,Used,21060,2017,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
39,Used,1914,2017,Porsche,911,,,,Gray/Silver,Automatic,,
40,Used,4088,2019,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
41,Used,18548,2017,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
42,Used,39265,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
43,Used,8,2019,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
44,Porsche Certified,676,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
45,Used,162,2019,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
46,Porsche Certified,3142,2019,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
47,Used,3565,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
48,Used,1952,2018,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
49,Used,17916,2015,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
50,Used,3409,2018,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
51,Porsche Certified,3741,2017,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
52,Porsche Certified,22888,2016,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
53,Used,11,2019,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
54,Used,1348,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
55,Used,4214,2018,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
56,Used,19130,2015,Porsche,911,Targa,4S,,Gray/Silver,Automatic,,
57,Used,4250,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
58,Used,33081,2014,Porsche,911,GT3,,,Gray/Silver,Automatic,,
59,Used,2315,2019,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
60,Used,3187,2019,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
61,Used,3897,2019,Porsche,911,Targa,4S,,Gray/Silver,Automatic,,
62,Used,13206,2017,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
63,Used,455,2019,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
64,Used,4295,2018,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
65,Used,6497,2018,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
66,Porsche Certified,42,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
67,Used,8627,2019,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
68,Porsche Certified,22252,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
69,Porsche Certified,9192,2016,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
70,Used,20160,2016,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
71,Used,44214,2017,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
72,Used,19996,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
73,Used,100,2019,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
74,Used,2650,2018,Porsche,911,GT3,,,Gray/Silver,Automatic,,
75,Used,3361,2019,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
76,Porsche Certified,4975,2019,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
77,Used,17961,2017,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
78,Porsche Certified,7096,2018,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
79,Used,10700,2018,Porsche,911,Carrera,GTS,,Gray/Silver,Automatic,,
80,Used,26311,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
81,Used,23569,2015,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
82,Porsche Certified,8601,2019,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
83,Used,8193,2014,Porsche,911,50th,Anniversary,Edition,Gray/Silver,Automatic,,
84,Used,75000,2009,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
85,Used,15094,2017,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
86,Used,21880,2018,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
87,Used,50200,2009,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
88,Used,14620,2015,Porsche,911,Carrera,4,,Gray/Silver,Automatic,,
89,Porsche Certified,5669,2017,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
90,Used,267,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
91,Used,24125,2014,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
92,Used,36372,2013,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
93,Used,1920,2019,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
94,Used,16016,2012,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
95,Used,20266,2011,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
96,Used,2771,2019,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
97,Porsche Certified,21082,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
98,Used,14196,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
99,Used,28,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
0,Used,4068,2019,Porsche,911,Carrera,GTS,,Gray/Silver,Automatic,,
1,Porsche Certified,34899,2017,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
2,Used,38462,2007,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
3,Used,785,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
4,Used,18375,2009,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
5,Used,19166,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
6,Porsche Certified,16938,2016,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
7,Used,7791,2017,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
8,Used,417,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
9,Used,23529,2017,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
10,Used,13422,2014,Porsche,911,GT3,,,Gray/Silver,Automatic,,
11,Used,36803,2015,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
12,Used,104,2019,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
13,Used,16048,2014,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
14,Used,48818,2012,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
15,Porsche Certified,19542,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
16,Used,13697,2014,Porsche,911,50th,Anniversary,Edition,Gray/Silver,Automatic,,
17,Used,17574,2017,Porsche,911,Targa,4,,Gray/Silver,Automatic,,
18,Used,47474,2010,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
19,Used,34788,2014,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
20,Used,84011,2007,Porsche,911,Carrera,Cabriolet,,Gray/Silver,Automatic,,
21,Used,3393,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
22,Used,17841,2015,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
23,Porsche Certified,17825,2017,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
24,Used,1475,2019,Porsche,911,Targa,4S,,Gray/Silver,Automatic,,
25,Used,21254,2014,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
26,Used,16768,2014,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
27,Used,4881,2018,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
28,Used,101435,2009,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Automatic,,
29,Used,27492,2015,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
30,Used,8154,2015,Porsche,911,Carrera,4,,Gray/Silver,Automatic,,
31,Used,14225,2017,Porsche,911,Targa,4S,,Gray/Silver,Automatic,,
32,Used,43338,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
33,Used,22122,2013,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
34,Used,6959,2014,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
35,Used,8902,2015,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
36,Porsche Certified,21625,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
37,Used,14653,2017,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
38,Used,26575,2018,Porsche,911,Targa,4S,,Gray/Silver,Automatic,,
39,Used,46691,2014,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
40,Porsche Certified,21650,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
41,Used,61,2019,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
42,Used,32444,2017,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
43,Porsche Certified,989,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
44,Used,4786,2017,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
45,Used,9244,2017,Porsche,911,Targa,4S,,Gray/Silver,Automatic,,
46,Used,19124,2014,Porsche,911,,,,Gray/Silver,Automatic,,
47,Porsche Certified,4613,2018,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
48,Used,6976,2017,Porsche,911,,,,Gray/Silver,Automatic,,
49,Used,5768,2018,Porsche,911,GT3,,,Gray/Silver,Automatic,,
50,Used,177,2019,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
51,Porsche Certified,22149,2017,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
52,Porsche Certified,18836,2017,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
53,Porsche Certified,9526,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
54,Used,1907,2019,Porsche,911,Carrera,4,GTS,Gray/Silver,Automatic,,
55,Porsche Certified,49867,2008,Porsche,911,Carrera,S,Cabriolet,Gray/Silver,Automatic,,
56,Used,19146,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
57,Porsche Certified,36450,2014,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
58,Used,5667,2017,Porsche,911,Targa,4,,Gray/Silver,Automatic,,
59,Used,9463,2007,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
60,Used,49191,2010,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
61,Porsche Certified,4580,2017,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
62,Used,12119,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
63,Porsche Certified,22877,2017,Porsche,911,PACKAGE,PLUS,,Gray/Silver,Automatic,,
64,Used,1730,2019,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
65,Used,1159,2017,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
66,Used,22053,2011,Porsche,911,Carrera,GTS,,Gray/Silver,Automatic,,
67,Porsche Certified,15084,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
68,Used,21056,2015,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
69,Used,18919,2013,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
70,Used,4149,2019,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
71,Porsche Certified,12864,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
72,Used,40675,2009,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
73,Used,5219,2017,Porsche,911,Carrera,4,,Gray/Silver,Automatic,,
74,Used,24779,2017,Porsche,911,Targa,4S,,Gray/Silver,Automatic,,
75,Used,29994,2015,Porsche,911,GT3,,,Gray/Silver,Automatic,,
76,Used,18160,2017,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
77,Used,34051,2013,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
78,Used,3271,2018,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
79,Used,9781,2017,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
80,Used,4845,2015,Porsche,911,GT3,,,Gray/Silver,Automatic,,
81,Used,1085,2018,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
82,Used,21000,2015,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
83,Used,19753,2017,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
84,Porsche Certified,1739,2019,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
85,Used,103,2019,Porsche,911,GT3,RS,,Gray/Silver,Automatic,,
86,Used,12804,2017,Porsche,911,,,,Gray/Silver,Automatic,,
87,Porsche Certified,18502,2018,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
88,Used,15163,2015,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
89,Used,32314,2012,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
90,Porsche Certified,4881,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
91,Used,29099,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
92,Used,2770,2019,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
93,Used,12236,2015,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
94,Porsche Certified,9039,2019,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
95,Used,6359,2015,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
96,Used,367,2019,Porsche,911,Carrera,T,,Gray/Silver,Automatic,,
97,Used,57866,2012,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
98,Used,15095,2016,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
99,Used,5609,2017,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
0,Used,14374,2018,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
1,Porsche Certified,35959,2013,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
2,Used,1278,2018,Porsche,911,GT2,RS,,Gray/Silver,Automatic,,
3,Used,46857,2014,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
4,Used,35103,2018,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
5,Porsche Certified,5609,2017,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
6,Used,23811,2012,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
7,Used,6600,2007,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
8,Used,41594,2007,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
9,Used,34154,2014,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
10,Used,31698,2012,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
11,Used,34530,2017,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
12,Used,36330,2015,Porsche,911,Targa,4,,Gray/Silver,Automatic,,
13,Used,84438,2007,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
14,Used,39829,2015,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
15,Used,88111,2007,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
16,Used,94249,2013,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
17,Used,50712,2008,Porsche,911,Carrera,,,Gray/Silver,Automatic,,
18,Used,64056,2012,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
19,Used,12021,2015,Porsche,911,Turbo,,,Gray/Silver,Automatic,,
20,Used,28342,2016,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
21,Porsche Certified,13864,2017,Porsche,911,Turbo,S,,Gray/Silver,Automatic,,
22,Used,53744,2009,Porsche,911,Carrera,S,,Gray/Silver,Automatic,,
23,Used,56350,2009,Porsche,911,Carrera,4S,,Gray/Silver,Automatic,,
